Doctor ID,Doctor Name,Education,Speciality,Experience,Adress,Location,,,,,,,,,,,,,,,,,,,,,
86,Prof. Dr. Md. Abu Taher,"['MBBS', 'DDV', 'MPH']",PSYCHIATRIST,30,Popular Diagnostic Centre Ltd. | Bogura,Bogra,,,,,,,,,,,,,,,,,,,,,
87,Dr. Sujon Sarker,"['MBBS', 'BCS', 'MACP', 'MD']",NEPHROLOGIST,15,Popular Diagnostic Centre Ltd. | Bogura,Bogra,,,,,,,,,,,,,,,,,,,,,
88,Dr. Tamim Aziz,"['MBBS', 'BCS', 'MCPS', 'MD', 'CCD']",NEPHROLOGIST,17,Popular Diagnostic Centre Ltd. | Bogura,Bogra,,,,,,,,,,,,,,,,,,,,,
89,Dr. A.H.M. Sanjedul Haque Sumon,"['MBBS', 'BCS', 'MD']",NEPHROLOGIST,17,Popular Diagnostic Centre Ltd. | Bogura,Bogra,,,,,,,,,,,,,,,,,,,,,
90,Assoc. Prof. Dr. Swapan Kumar Saha,"['MBBS', 'MD', 'MPH']",NEPHROLOGIST,24,Popular Diagnostic Centre Ltd. | Bogura,Bogra,,,,,,,,,,,,,,,,,,,,,
91,Assoc. Prof. Dr. A.N.M Ehsanul Karim,"['MBBS', 'FCPS', 'MD']",NEPHROLOGIST,27,Popular Diagnostic Centre Ltd. | Bogura,Bogra,,,,,,,,,,,,,,,,,,,,,
92,Assoc. Prof. Dr. Md. Zakirul Alam,"['MBBS', 'BCS', 'FCPS']",GENERAL SURGEON,27,Popular Diagnostic Centre Ltd. | Bogura,Bogra,,,,,,,,,,,,,,,,,,,,,
92,Assoc. Prof. Dr. Md. Zakirul Alam,"['MBBS', 'BCS', 'FCPS']",COLORECTAL & LAPAROSCOPIC SURGEON,27,Popular Diagnostic Centre Ltd. | Bogura,Bogra,,,,,,,,,,,,,,,,,,,,,
93,Asst. Prof. Dr. A.S.M Aminul Islam,"['MBBS', 'BCS', 'FCPS']",GENERAL SURGEON,22,Popular Diagnostic Centre Ltd. | Bogura,Bogra,,,,,,,,,,,,,,,,,,,,,
93,Asst. Prof. Dr. A.S.M Aminul Islam,"['MBBS', 'BCS', 'FCPS']",COLORECTAL & LAPAROSCOPIC SURGEON,22,Popular Diagnostic Centre Ltd. | Bogura,Bogra,,,,,,,,,,,,,,,,,,,,,
94,Assoc. Prof. Dr. Ganesh Kumar Agarwala,"['MBBS', 'BCS', 'MCPS', 'MS', 'FACS (USA)']",GENERAL SURGEON,27,Popular Diagnostic Centre Ltd. | Bogura,Bogra,,,,,,,,,,,,,,,,,,,,,
94,Assoc. Prof. Dr. Ganesh Kumar Agarwala,"['MBBS', 'BCS', 'MCPS', 'MS', 'FACS (USA)']",COLORECTAL & LAPAROSCOPIC SURGEON,27,Popular Diagnostic Centre Ltd. | Bogura,Bogra,,,,,,,,,,,,,,,,,,,,,
95,Assoc. Prof. Dr. Md. Abul Kalam Azad,"['MBBS', 'MPH', 'MS', 'CCD']",GENERAL SURGEON,26,Popular Diagnostic Centre Ltd. | Bogura,Bogra,,,,,,,,,,,,,,,,,,,,,
95,Assoc. Prof. Dr. Md. Abul Kalam Azad,"['MBBS', 'MPH', 'MS', 'CCD']",LAPAROSCOPIC SURGEON,26,Popular Diagnostic Centre Ltd. | Bogura,Bogra,,,,,,,,,,,,,,,,,,,,,
96,Asst. Prof. Dr. Milton Kumer Saha,"['MBBS', 'BCS', 'MS']",NEUROSURGEON,23,Popular Diagnostic Centre Ltd. | Bogura,Bogra,,,,,,,,,,,,,,,,,,,,,
97,Prof. Dr. Md. Shafiul Alam Chopol,"['MBBS', 'FCPS', 'MS']",NEUROSURGEON,28,Popular Diagnostic Centre Ltd. | Bogura,Bogra,,,,,,,,,,,,,,,,,,,,,
98,Assoc. Prof. Dr. Sushanta Kumar Sarkar,"['MBBS', 'MS']",NEUROSURGEON,26,Popular Diagnostic Centre Ltd. | Bogura,Bogra,,,,,,,,,,,,,,,,,,,,,
99,Dr. Abir Hasan Dip,"['MBBS', 'BCS', 'MD', 'MACP', 'FCPS']",RESPIRATORY SPECIALIST,20,Popular Diagnostic Centre Ltd. | Bogura,Bogra,,,,,,,,,,,,,,,,,,,,,
100,Dr. Alok Kumar Sarkar,"['MBBS', 'BCS', 'MD']",RESPIRATORY SPECIALIST,20,Popular Diagnostic Centre Ltd. | Bogura,Bogra,,,,,,,,,,,,,,,,,,,,,
101,Asst. Prof. Dr. K.M. Monjurul Alom,"['MBBS', 'DTCD', 'FCCP', 'MD']",RESPIRATORY SPECIALIST,23,Popular Diagnostic Centre Ltd. | Bogura,Bogra,,,,,,,,,,,,,,,,,,,,,
102,Dr. Md Mominul Islam Momin,"['MBBS', 'BCS', 'MS', 'MCPS', 'MRCS', 'CCD']",UROLOGIST,18,Popular Diagnostic Centre Ltd. | Bogura,Bogra,,,,,,,,,,,,,,,,,,,,,
103,Dr. Masud Rana Badol,"['MBBS', 'BCS', 'MS']",UROLOGIST,20,Popular Diagnostic Centre Ltd. | Bogura,Bogra,,,,,,,,,,,,,,,,,,,,,
104,Dr. Lt. Col. Muhammed Alam,"['MBBS', 'MS']",UROLOGIST,16,Popular Diagnostic Centre Ltd. | Bogura,Bogra,,,,,,,,,,,,,,,,,,,,,
104,Dr. Lt. Col. Muhammed Alam,"['MBBS', 'MS']",GENERAL SURGEON,16,Popular Diagnostic Centre Ltd. | Bogura,Bogra,,,,,,,,,,,,,,,,,,,,,
105,Dr. Md. Masud Parvez,"['MBBS', 'BCS']",UROLOGIST,17,Popular Diagnostic Centre Ltd. | Bogura,Bogra,,,,,,,,,,,,,,,,,,,,,
106,Dr. Md. Abed Billah,"['MBBS', 'BCS', 'MS']",UROLOGIST,18,Popular Diagnostic Centre Ltd. | Bogura,Bogra,,,,,,,,,,,,,,,,,,,,,
107,Asst. Prof. Dr. Md. Rezaul Karim,"['MBBS', 'FCPS', 'MS']",UROLOGIST,23,Popular Diagnostic Centre Ltd. | Bogura,Bogra,,,,,,,,,,,,,,,,,,,,,
108,Assoc. Prof. Dr. Md. Ahsan Habib,"['MBBS', 'BCS', 'MS']",UROLOGIST,25,Popular Diagnostic Centre Ltd. | Bogura,Bogra,,,,,,,,,,,,,,,,,,,,,
109,Dr. M. R. Siddiqui Mamun,"['MBBS', 'DDV', 'FCPS']",DERMATOLOGIST,17,Popular Diagnostic Centre Ltd. | Bogura,Bogra,,,,,,,,,,,,,,,,,,,,,
110,Dr. Shilpy Akter,"['MBBS', 'BCS', 'MCPS', 'FCPS']",DERMATOLOGIST,21,Popular Diagnostic Centre Ltd. | Bogura,Bogra,,,,,,,,,,,,,,,,,,,,,
111,Prof. Dr. M. H. Alamgir Pavel,"['MBBS', 'FCPS']",UROLOGIST,26,Popular Diagnostic Centre Ltd. | Bogura,Bogra,,,,,,,,,,,,,,,,,,,,,
112,Dr. Farah Safa Huq,"['MBBS', 'BCS', 'MD']",DERMATOLOGIST,19,Popular Diagnostic Centre Ltd. | Bogura,Bogra,,,,,,,,,,,,,,,,,,,,,
113,Asst. Prof. Dr. Rozina Afroz,"['MBBS', 'BCS', 'MCPS', 'FCPS']",DERMATOLOGIST,21,Popular Diagnostic Centre Ltd. | Bogura,Bogra,,,,,,,,,,,,,,,,,,,,,
